,nearest_demand_id,distance_km
S0,2261,10.654412701433353
S1,2261,11.6432209413104
S2,2261,10.299656524243565
S3,2060,10.625100421396713
S4,2060,11.527803431234432
S5,2261,10.979497405098483
S6,2261,11.045703081183058
S7,2261,10.866725830906415
S8,2254,10.276444262092555
S9,2261,11.298606781180085
S10,2261,10.881605587788782
S11,2261,11.643220941310556
S12,2060,10.228980459411362
S13,2257,11.552755974116762
S14,2254,10.785960971772436
S15,2277,5.839845232467111
S16,2090,5.059580802486369
S17,2090,4.365903915234611
S18,2090,5.533427095692997
S19,2090,5.1739200893353985
S20,2279,6.20332693868307
S21,2279,4.774536113373529
S22,2090,5.773614308109691
S23,2090,5.273243309918332
S24,2082,5.079131978543866
S25,2301,4.335748294955515
S26,2126,4.9561321663821944
S27,2133,4.063693555676487
S28,2312,5.835479555577112
S29,2312,6.255683058448158
S30,2312,12.363547510493298
S31,2320,8.78974592139439
S32,2208,5.621260362287325
S33,2711,7.478885097760002
S34,2711,6.379915883582716
S35,2711,9.445673408589903
S36,2711,11.466007333911353
S37,2711,6.302103237387584
S38,2711,7.238494550869568
S39,2710,5.854889868945781
S40,2710,5.348953651510124
S41,2694,5.947683382586877
S42,2710,8.882565401199416
S43,2710,7.001209259976154
S44,2711,9.355610687180592
S45,2710,6.267528285592079
S46,2711,9.644199300942232
S47,2711,11.010419143706134
S48,2711,8.777278706359393
S49,2711,5.789068483111353
S50,2711,8.408049506834592
S51,2710,6.495234100950687
S52,2711,10.178663706041391
S53,2710,6.551404594557466
S54,2711,8.950303446285824
S55,2710,5.608959166434225
S56,2711,4.415916095438455
S57,2711,6.602409857911826
S58,2711,4.834267545749047
S59,2710,4.62766263996539
S60,2711,10.78519320076226
S61,2757,5.990849012543086
S62,2757,4.630414091139848
S63,2749,6.689080435716043
S64,2757,6.1682115682755505
S65,2749,5.288663987259232
S66,2749,4.142156713611115
S67,2756,5.3966953010094745
S68,2749,4.631172732818575
S69,2820,6.116714620995766
S70,2749,5.754215142047526
S71,2749,6.036666534737822
S72,2757,4.423406071900659
S73,2756,5.396662519161255
S74,2749,5.167998187588827
S75,2749,5.417284540228451
S76,2749,7.052003805351727
S77,2757,3.2567185744098133
S78,2757,4.57683874423273
S79,2757,6.409015534935654
S80,2749,5.9459117665228165
S81,2836,7.204092683285098
S82,2836,7.64093082757691
S83,2834,7.618806736388305
S84,2836,7.10420587738721
S85,2836,7.446660606004789
S86,2834,7.389600531555393
S87,2836,8.184466812092802
S88,2836,8.256724707325041
S89,2836,7.4358360582152
S90,2836,7.21912602616962
S91,2836,7.633234766559471
S92,2834,8.585211702625454
S93,2836,7.208936552380266
S94,2836,4.352233403403428
S95,2836,6.776410464274061
S96,2834,7.402601277900836
S97,2836,7.333997920239753
S98,3885,11.795712931310124
S99,3885,12.683676212990214
S100,3885,12.255949933954337
S101,3885,12.625716914762265
S102,3885,11.963592161577417
S103,3885,11.383944245492508
S104,3885,12.451262248875192
S105,3885,12.36284232716272
S106,3885,12.165776281957823
S107,3885,8.71640027793245
S108,3885,11.273008801369391
S109,3885,12.950625184010367
S110,3885,11.632856466043684
S111,3885,12.354881090951832
S112,3884,10.384613586296355
S113,3885,12.00260045655349
S114,3885,10.959567035380898
S115,3885,10.091095315528438
S116,3884,10.216983667349677
S117,3885,9.22075779338502
S118,3885,9.795894653644027
S119,3885,10.39778907717337
S120,3885,11.275990322162277
S121,3885,10.892623099258262
S122,3885,11.890948224197214
S123,3884,10.173298287899346
S124,3885,10.60831420330738
S125,3885,10.837458246413998
S126,3885,9.22075779338502
S127,3885,11.23009639544258
S128,3885,10.74750396863102
S129,3885,10.642097740085568
S130,3885,12.843872823640279
S131,3884,10.306810095777085
S132,3885,9.853789624132514
S133,3885,12.562162600138251
S134,3885,9.224078607362326
S135,3884,10.3067145663551
S136,3885,10.838496642983271
S137,3885,12.533265671368815
S138,3885,11.502719333922899
S139,3885,11.442145972143894
S140,3885,10.37137977332854
S141,3884,10.952335229731414
S142,3885,11.42285947316268
S143,3885,11.282872230421322
S144,3885,11.223630799222061
S145,3885,11.161906078265021
S146,3884,11.546017780626114
S147,3884,10.509091922147404
S148,3884,13.286336493878157
S149,3884,10.889281239962118
S150,3884,14.092652217432004
S151,3884,14.870099461273423
S152,3884,15.738402048159232
S153,3883,12.357922798895997
S154,3884,13.637319272918077
S155,3884,12.87082029855892
S156,3884,12.716708215987568
S157,3884,12.671320759243745
S158,3884,10.180937147348127
S159,3884,12.798051981306736
S160,3884,15.339759248493811
S161,3884,12.842232428938607
S162,3884,13.980215909404343
S163,3884,14.36871983774044
S164,3884,15.151518709106146
S165,3884,14.517195756656523
S166,3884,14.211208925476878
S167,3884,9.996763380286973
S168,3884,7.075208348376064
S169,3884,8.429719991598244
S170,3884,7.988555452054094
S171,3884,6.919956393038151
S172,3884,8.687865692546277
S173,3884,8.125052897071907
S174,3884,7.823740284812596
S175,3884,8.383980609389393
S176,3884,6.8160993708331885
S177,3884,8.734046659995414
S178,3884,7.994933096802014
S179,3884,8.4769747288752
S180,3884,6.7249188702514004
S181,3884,8.950950385081748
S182,3884,7.67528503507822
S183,3884,7.152027531767361
S184,3884,7.742686399853331
S185,3884,7.127414296196506
S186,3884,7.506756111728941
S187,3884,7.695569790014828
S188,3884,8.661680029320655
S189,3884,7.315486119963567
S190,3884,8.811258604912927
S191,3884,6.598109991477811
S192,2503,3.1125845960025273
S193,2458,2.0096306636345256
S194,2458,1.1101671569599214
S195,2458,1.934783785910664
S196,2488,2.654975399662146
S197,2522,2.590987144706479
S198,2522,1.71521285259214
S199,2458,0.9045574779148731
S200,2832,6.455293342650671
S201,2536,5.335964201586031
S202,2536,7.125943595301439
S203,2536,5.91278606123595
S204,2832,6.937019397163679
S205,2683,10.968001530789156
S206,2699,12.643705400994392
S207,2699,11.699251211063416
S208,2699,12.870048035891443
S209,2699,11.767079763008473
S210,2699,11.89917915704787
S211,2699,12.055799174849952
S212,2699,12.673332148407585
S213,2683,10.916204348818797
S214,2683,11.05135711950428
S215,2699,12.288606555677612
S216,2699,11.842694323727523
S217,2538,10.470530341637621
S218,2538,9.78161954072037
S219,2538,6.191225462061826
S220,3883,10.236912865333412
S221,2538,10.00742123527478
S222,2577,2.6890987342427075
S223,2577,3.046730514286741
S224,2538,9.730417695838883
S225,2538,4.625509081085864
S226,2538,5.43310509887507
S227,2538,5.783702266649609
S228,2538,10.328265297711487
S229,2538,5.218304615155095
S230,2538,6.153722801596506
S231,2538,6.732111540359667
S232,2538,9.697761382374766
S233,3885,3.969487000045535
S234,3885,4.734153453261095
S235,3885,5.061079450795331
S236,3885,4.232239224868801
S237,3885,0.9369075698615893
S238,3885,4.6895733227760745
S239,3885,5.061079450795331
S240,3885,4.734153453261095
S241,3882,5.861628493095469
S242,3882,3.2978498418127047
S243,3882,5.447066486752998
S244,3882,4.95690027375669
S245,2542,6.970867591332815
S246,3882,6.948222013192287
S247,2542,6.797562950606814
S248,3882,6.617828264319119
S249,2541,4.825127316173605
S250,2545,2.5190071569995633
S251,2542,6.493644866938206
S252,2542,6.900378744997407
S253,2542,7.196656117883912
S254,2542,6.431106264226226
S255,2542,6.737113453649517
S256,2541,7.111911629033169
S257,2542,7.091782592263799
S258,2545,2.5526012292576934
S259,3882,7.486183069747252
S260,3882,6.814670988932659
S261,3882,6.53164806783978
S262,2542,6.743250944859003
S263,3882,6.33781941759024
S264,3882,6.313930898176842
S265,3882,6.515314598300344
S266,2541,7.236483029480444
S267,2541,7.0942046846817925
S268,2541,7.815162416622938
S269,3882,7.1854989786035315
S270,3882,6.914041580278104
S271,2690,2.4572519063383083
S272,2439,3.182794532310707
S273,3884,17.838888127724957
S274,3884,15.019948267036197
S275,3884,16.403548768357627
S276,2699,14.34966691104215
S277,3884,14.273802122897408
S278,3884,15.107998620637463
S279,3884,14.5871125449269
S280,3884,15.387667003461953
S281,3885,13.670746532798109
S282,3885,13.06738759412113
S283,3885,12.916934634568905
S284,3885,14.492303556696406
S285,3885,13.32022820339782
S286,3885,13.328660318989
S287,3885,12.913738605293652
S288,3885,13.612799095497678
S289,3885,12.48778731627146
S290,3885,13.606996463435902
S291,3885,13.122149840708849
S292,3885,14.22291771832949
S293,3885,12.697503699149657
S294,3885,14.394916367196998
S295,3885,13.484576030851013
S296,2711,13.872502432516498
S297,3885,13.290776028139497
S298,2711,14.33270711602285
S299,3885,9.838299763030564
S300,3885,12.687466758525627
S301,3885,9.05493014442287
S302,3885,13.411228278347314
S303,3885,12.778107800486763
S304,3885,13.714534996971043
S305,3885,13.650305887200986
S306,2542,10.603614636470121
S307,2821,5.826288033064726
S308,2710,7.186592886671888
S309,2821,6.225073262482923
S310,2821,6.281855312266999
S311,2710,6.99576051855116
S312,2710,7.301665739539496
S313,2821,5.2617053279413755
S314,2557,2.2469158936580285
S315,2710,7.367775697190152
S316,2557,3.970071815425611
S317,2769,3.323694959650519
S318,2557,1.0470201094043474
S319,2557,1.5912606468970845
S320,2557,1.3430977067828491
S321,2581,2.613633635555026
S322,2581,2.10689811179623
S323,2580,2.213472576743114
S324,2573,2.3653154164617853
S325,2580,2.06772038732317
S326,2607,1.1605096107847255
S327,2681,9.741343761739314
S328,2681,9.621458912804773
S329,2681,2.3263359322789396
S330,2681,2.7182986922309
S331,2681,9.901304219853833
S332,2681,9.409121938771772
S333,3110,6.378842893253547
S334,3264,7.597252961401221
S335,3264,6.730441145039762
S336,2967,8.516804959637213
S337,3264,6.805107469605695
S338,3135,11.804089297721163
S339,3264,7.412941372984096
S340,3264,7.634991768858363
S341,3110,6.604933891410815
S342,3110,9.187478702274648
S343,2971,12.21870425823901
S344,3264,6.470359281305622
S345,3264,7.1211934123150025
S346,3264,8.741583252579824
S347,3264,12.892165983784198
S348,3264,8.165948776073742
S349,2970,8.086728593406841
S350,3264,8.497083362849882
S351,3110,7.768936879540594
S352,3110,6.405619075756821
S353,3110,6.6675720594382915
S354,2971,12.32285606238958
S355,3110,6.6449579159146035
S356,3264,8.57171125948114
S357,2971,8.245408459158769
S358,2971,8.493815119324275
S359,3264,9.28997943172964
S360,2971,8.356354492369924
S361,3264,7.380848294574137
S362,3264,8.350207783127193
S363,3264,10.948875012422588
S364,2967,9.102350659582038
S365,3110,7.778900975165533
S366,3110,6.9677977614520294
S367,3135,10.772586098512752
S368,3264,8.683829598943422
S369,3110,7.89897165895189
S370,2971,12.581775760877544
S371,3110,7.747756290506153
S372,3110,6.381309056895536
S373,3264,7.287388556026257
S374,3110,12.686644893911241
S375,3135,10.371072335918413
S376,2971,7.002493768755
S377,3110,7.8539277600021205
S378,3110,7.293104732417091
S379,3110,6.767816099054351
S380,3110,6.602615783074465
S381,3001,7.66290433021567
S382,3002,7.393709089052111
S383,2986,7.896863068527023
S384,3025,8.552051290354152
S385,3001,8.325959878428852
S386,3002,7.1737545969595
S387,3225,6.558096755276257
S388,3225,5.979063679000821
S389,3225,5.977882804892813
S390,3225,5.898265173832043
S391,3021,3.3056202902151024
S392,3021,2.908126240469193
S393,3021,1.084371220772136
S394,3179,5.214121633570764
S395,3179,5.673977540375922
S396,3033,7.173248192379577
S397,3179,5.672730711020073
S398,3210,1.5787465207055271
S399,3194,2.2159635262738315
S400,3220,2.4702640061452836
S401,3198,2.0320997860106997
S402,3198,1.809849848795224
S403,3210,1.3913974664774114
S404,2966,1.552565509259635
S405,3210,2.123508295208793
S406,3199,2.346293149895591
S407,3198,2.345335005912123
S408,3194,2.4433375969406597
S409,3250,3.3065932716654567
S410,3249,2.808609503687832
S411,3249,1.1440890939173358
S412,3145,7.500267500606588
S413,3145,4.455904665200772
S414,3422,7.418089637414522
S415,3473,8.770164062919061
S416,3473,5.93417046774044
S417,3473,9.423963108990069
S418,3473,10.507378899690996
S419,3473,7.525345037364632
S420,3473,6.035763716739548
S421,3418,10.669942975088848
S422,3473,10.49607641082264
S423,3473,10.375665118218787
S424,3422,7.866546077137916
S425,3447,7.967344717282489
S426,3447,5.7369932652388735
S427,3447,5.9223056620719
S428,3487,5.274453238645573
S429,3447,5.833111104797423
S430,3547,2.8574402986919822
S431,3548,3.267022845232926
S432,3536,2.0905436652540073
S433,3536,1.9277086578576383
S434,3564,3.84881185097447
S435,3570,3.2527737043835825
S436,3567,3.043735490839891
S437,3570,3.370013310440494
S438,3567,5.912365223280652
S439,3771,6.719050261928073
S440,3771,5.915050366009587
S441,3771,7.320139517299532
S442,3771,6.302812482073232
S443,3771,5.696474743236083
S444,3541,7.261070947523314
S445,3772,3.5048745818226155
S446,3577,6.595498532468849
S447,3771,7.347563103252306
S448,3771,6.987205127801401
S449,3771,6.5807997992228335
S450,3576,6.025250080612246
S451,3771,7.349349272127513
S452,3771,4.8380938929283
S453,3771,5.135083024980241
S454,3585,5.659720925104689
S455,3585,5.252431149628835
S456,3585,4.988945038228201
S457,3585,5.5265795960067265
S458,3585,3.2521860385356693
S459,3585,5.290770742534033
S460,3585,5.422946469752756
S461,3610,5.344636697884749
S462,3604,1.34899271948157
S463,3625,3.9238296636161856
S464,3627,4.703010229933359
S465,3627,4.935837221232638
S466,3956,12.802306041936717
S467,3956,12.901723887205037
S468,3956,12.609628109279553
S469,3956,12.698024402820202
S470,3956,12.444503062389927
S471,3956,12.585343806226884
S472,4069,10.820973184778657
S473,3956,12.939981326165384
S474,4069,11.881990628630222
S475,3956,12.108785515871963
S476,4069,11.416465639143576
S477,4069,11.848808751539181
S478,3956,13.127515436949837
S479,3956,13.228625063054176
S480,4069,11.587167575028
S481,3956,12.356964355022788
S482,3956,12.206380434999975
S483,4069,12.117138007591903
S484,3956,13.522372091009407
S485,3956,12.746482158988806
S486,4069,12.118946640431568
S487,3941,13.579268566960625
S488,3941,12.643244277122584
S489,3939,13.837039284089544
S490,3941,12.808405022869565
S491,4069,13.974858264184208
S492,3941,13.814464910037128
S493,4069,14.137129704814706
S494,3938,8.025068781320376
S495,3941,15.053994014549767
S496,3941,12.033701420824581
S497,3941,14.902508821804748
S498,3941,14.667550571708583
S499,4069,13.80160628259118
S500,3941,12.372157634432813
S501,4069,12.581036172860694
S502,4069,11.36628978532325
S503,4069,12.366480304100378
S504,4069,12.386768538733708
S505,4069,12.187742141613857
S506,3956,14.033228821798152
S507,4069,14.19502336964946
S508,3956,12.290794887432238
S509,3956,13.079639539107914
S510,3956,13.320418576444505
S511,4069,14.644021777592183
S512,3956,13.773563158483196
S513,3956,12.923818689010934
S514,3949,14.641816705929497
S515,3955,11.487789595997256
S516,4137,12.395067959695622
S517,3935,11.650583476820952
S518,3935,9.945297825172382
S519,3935,8.492024014148017
S520,3935,9.355267536062708
S521,3935,8.047079496141404
S522,4137,12.294350220800263
S523,3773,13.661709942034975
S524,3644,13.480293618732508
S525,3773,13.037287459370711
S526,3644,13.475469897393438
S527,3773,13.780000721374359
S528,3773,13.71852729053432
S529,3644,13.397197393734832
S530,3773,14.023133192649718
S531,3644,13.342542344453255
S532,3773,13.23695971630976
S533,3773,12.379911421501244
S534,3773,14.085712938358693
S535,3773,13.504268340974612
S536,3644,13.147303990566595
S537,3773,13.237662528491212
S538,3644,12.986611971021485
S539,3644,13.078390214865834
S540,3644,13.14757306927494
S541,3773,13.655916859863268
S542,3645,11.948344888478365
S543,3644,12.192216774433668
S544,3644,13.553541551602132
S545,3645,12.495309870190864
S546,3645,13.608412678348857
S547,3644,13.301339575431196
S548,3644,12.126005156534173
S549,3644,12.020368841313491
S550,3644,13.244384040170674
S551,3644,12.726399872658371
S552,3644,12.857281592209874
S553,3645,12.621711461556979
S554,3645,13.898106316424728
S555,3644,12.073553638706171
S556,3773,12.697368966342438
S557,3773,11.354817188508338
S558,3773,12.549415498449706
S559,3773,12.134778490513053
S560,3773,12.507200411615461
S561,3773,11.726208541153817
S562,3773,12.600462194753451
S563,3644,12.036157360137656
S564,3644,12.8045905502347
S565,3644,13.549117012294527
S566,3773,14.189171234226485
S567,3644,14.865082262574138
S568,3644,12.767143854467095
S569,3644,12.016846461570978
S570,3644,11.648721286681933
S571,3644,14.336985265271279
S572,3644,13.571636692576272
S573,3644,12.134382926550614
S574,3644,14.381706439204574
S575,3644,13.427542254479043
S576,3644,11.909996506613938
S577,3773,12.926125392870617
S578,3773,8.79942604074308
S579,3773,13.3923494544814
S580,3773,13.261466424785965
S581,3773,13.570330763117129
S582,3781,13.888399902242389
S583,3773,14.02517777505034
S584,3773,10.568192037759998
S585,3773,10.810523519636687
S586,3773,12.085854641025053
S587,3773,13.493531024166668
S588,3644,10.10283326193667
S589,3644,11.623884118803133
S590,3644,11.793352099234689
S591,3644,9.469646850453493
S592,3644,12.236566383318463
S593,3644,8.85115122886787
S594,3646,6.618974435402371
S595,3646,5.293945562745922
S596,3644,9.354926268369375
S597,3644,10.636213052490222
S598,3644,10.107774348156337
S599,3644,8.664764748918918
S600,3644,9.094272637203119
S601,3644,9.862547769171144
S602,3644,11.035020297974011
S603,3644,10.654336539108897
S604,3644,10.763678591431411
S605,3644,10.188118342048787
S606,3644,10.559276587427874
S607,3644,9.625620099473752
S608,3644,9.071469915979357
S609,3644,9.131125259381589
S610,3745,14.032181328809639
S611,3745,13.344878999646191
S612,3773,13.224110372601883
S613,3773,13.430431866362191
S614,3773,13.48455837644999
S615,3745,13.847810887279257
S616,3745,13.417245429104465
S617,3745,14.077588680422778
S618,3745,10.473643787805052
S619,5168,9.503518607155277
S620,5168,8.43486036786684
S621,5168,10.236514062034972
S622,5168,8.269679142265783
S623,5168,10.359290960684142
S624,5168,10.99844788632897
S625,5168,8.810771506787974
S626,5168,9.777942100590801
S627,5168,11.635194350714674
S628,5168,12.494559346448895
S629,5168,11.561989919220428
S630,5168,9.171654906159064
S631,5168,10.96938480930656
S632,5168,11.952341504347975
S633,5168,11.637189561679621
S634,5168,10.9814227775858
S635,5168,9.85188277273343
S636,5168,12.536811055022905
S637,5168,11.460320049607411
S638,5168,9.549651183861817
S639,5168,10.159064838379585
S640,5168,10.235394906924816
S641,5168,12.231307345572793
S642,5168,9.519592403559784
S643,5168,12.769780622028366
S644,4819,12.011364093032523
S645,4819,10.064551851321642
S646,5168,12.048465492967212
S647,4819,12.058440209003702
S648,4819,10.935482462945075
S649,4819,10.710210135582665
S650,4819,11.17368949330697
S651,4819,10.232109949225746
S652,4819,11.013457357285553
S653,4819,9.573422757155214
S654,5168,9.245033863134124
S655,4819,10.638893751444844
S656,4819,10.670850372119666
S657,4819,10.978582585114111
S658,4819,9.436195690980615
S659,5168,11.57577001228534
S660,4819,10.648154561519503
S661,4819,10.2356330927907
S662,4819,12.168919547207084
S663,4819,11.088934308535963
S664,4819,12.666674636070882
S665,5168,11.23933751436249
S666,5168,11.663896381159192
S667,5168,10.48520727471975
S668,5168,11.869257554754801
S669,5168,10.12765781063264
S670,4819,12.088471547713553
S671,5168,11.119391278449124
S672,4819,11.656968687545614
S673,4819,10.907716009991717
S674,4819,9.209480499766483
S675,4819,10.620526973796064
S676,4819,10.015740565197941
S677,4819,9.252135556453185
S678,4819,11.84036383469174
S679,5168,8.893576757168036
S680,4819,9.885297275710975
S681,4819,11.860458536312402
S682,4624,11.93745918412623
S683,4819,8.594271200548146
S684,4819,12.286524250781243
S685,4819,8.830753855653557
S686,4819,11.452162901071713
S687,4819,10.84717697144732
S688,4819,12.625157106200582
S689,4819,8.424176767737682
S690,5168,13.672599940666913
S691,5168,13.664615007603505
S692,5168,12.885963293770608
S693,4967,5.5827681236145015
S694,4967,5.1961664737252935
S695,4967,13.154477348801986
S696,4967,6.486739159232772
S697,4967,5.912683258138921
S698,5168,14.036124287628555
S699,4967,10.902319279502295
S700,4967,9.071046858740191
